movie_id,category
25746375,剧情
25746375,喜剧
5446197,剧情
5446197,动作
5446197,运动
25885212,剧情
25885212,喜剧
25728581,奇幻
25728581,冒险
5156558,剧情
5156558,科幻
5156558,惊悚
24325815,科幻
24325815,悬疑
24325815,惊悚
25922902,剧情
25738406,剧情
25738406,音乐
25767747,历史
25767747,奇幻
25823840,剧情
25823840,情色
25823840,古装
10533913,喜剧
10533913,动画
10533913,冒险
25814707,剧情
10773239,剧情
10773239,喜剧
10773239,战争
25870236,剧情
26147706,喜剧
26147706,动画
25761178,剧情
25761178,喜剧
25761178,运动
26219652,剧情
26219652,喜剧
25786077,动作
25786077,冒险
25786077,灾难
25958787,剧情
3608742,剧情
3608742,音乐
3608742,传记
11541282,剧情
11541282,喜剧
11541282,音乐
25837175,动作
25837175,惊悚
25837175,犯罪
10463953,剧情
10463953,同性
10463953,传记
10463953,战争
24397586,喜剧
24397586,动画
24397586,冒险
6866928,动作
6866928,科幻
6866928,惊悚
25752261,喜剧
25752261,动作
25752261,犯罪
25773932,剧情
25773932,音乐
23788440,剧情
23788440,动作
23788440,犯罪
24879839,喜剧
24879839,动作
24879839,奇幻
24879839,冒险
24879839,武侠
24879839,古装
25932086,悬疑
25932086,惊悚
25855951,剧情
25855951,喜剧
25855951,音乐
25855951,家庭
3592854,动作
3592854,科幻
3592854,冒险
6039412,剧情
6039412,爱情
6039412,奇幻
25907004,喜剧
25907004,爱情
26366634,喜剧
26366634,情色
4160540,剧情
4160540,科幻
26021055,爱情
10741834,动作
10741834,科幻
10741834,奇幻
10741834,冒险
25809260,喜剧
24753687,剧情
10741643,喜剧
10741643,奇幻
25745752,爱情
25830802,剧情
25830802,爱情
24847343,喜剧
24847343,爱情
21318488,剧情
21318488,悬疑
21318488,惊悚
21318488,犯罪
10755171,剧情
10755171,悬疑
10755171,惊悚
11520649,剧情
11520649,运动
26268587,剧情
26268587,历史
25718082,剧情
25718082,爱情
25718082,家庭
23761370,动作
23761370,犯罪
24405378,喜剧
24405378,动作
24405378,犯罪
24405378,冒险
19957083,喜剧
24716045,剧情
24716045,爱情
25945356,爱情
25945356,奇幻
25945356,古装
21937450,剧情
21937450,家庭
25870084,喜剧
25870084,爱情
25870084,奇幻
25794212,动作
25794212,爱情
25794212,科幻
25794212,冒险
21442760,剧情
21442760,爱情
3104205,剧情
3104205,喜剧
3104205,爱情
25742299,悬疑
25742299,惊悚
21263666,动作
21263666,传记
21263666,战争
25900851,剧情
25900851,音乐
25774050,科幻
25774050,恐怖
26314206,剧情
10827341,喜剧
10827341,科幻
10827341,动画
10827341,冒险
24859095,惊悚
6846893,动作
6846893,科幻
6846893,惊悚
25799475,惊悚
1889243,剧情
1889243,科幻
1889243,悬疑
1889243,家庭
1889243,冒险
25823833,动作
25823833,战争
25823833,古装
25811357,喜剧
25811357,犯罪
2973079,动作
2973079,奇幻
2973079,冒险
10792633,剧情
10792633,传记
10792633,历史
10792633,战争
10754780,剧情
10754780,音乐
10440138,动作
10440138,科幻
10440138,冒险
2998373,喜剧
2998373,家庭
11026735,喜剧
11026735,动作
11026735,科幻
11026735,动画
11026735,冒险
24987018,剧情
24987018,动作
24987018,悬疑
24987018,犯罪
25858759,爱情
25800938,剧情
25800938,喜剧
21349734,喜剧
21349734,奇幻
21349734,冒险
2363942,剧情
2363942,悬疑
2363942,历史
25872931,喜剧
25872931,爱情
21767183,剧情
26279166,喜剧
26279166,爱情
26279166,情色
24753810,动作
24753810,战争
5153254,喜剧
5153254,爱情
24307637,剧情
24307637,动作
2325873,奇幻
2325873,冒险
25898213,剧情
25898213,冒险
6126442,喜剧
6126442,爱情
6126442,冒险
25821585,喜剧
25861695,喜剧
25834945,剧情
6875263,爱情
6875263,奇幻
6875263,冒险
25908042,喜剧
25908042,动作
25908042,冒险
21345845,剧情
21345845,传记
25945408,惊悚
25881780,喜剧
25881780,爱情
26259634,爱情
11540651,剧情
11540651,家庭
24883815,剧情
24883815,喜剧
24883815,爱情
24872023,喜剧
24872023,动作
10807909,动作
10807909,战争
10807909,冒险
5154799,动作
5154799,科幻
5154799,冒险
25780584,剧情
25780584,爱情
25947154,喜剧
25947154,爱情
25731554,动作
25731554,西部
25746414,喜剧
25746414,动作
25746414,爱情
25746414,悬疑
25890082,恐怖
25890082,奇幻
24713882,喜剧
24713882,音乐
6533054,动作
6533054,科幻
6533054,冒险
25862355,剧情
25862355,喜剧
25835293,剧情
10548265,剧情
10548265,传记
10548265,战争
10548265,运动
26184109,剧情
25938856,喜剧
4911596,喜剧
25713420,动作
25713420,爱情
25713420,奇幻
3078390,剧情
3078390,爱情
3078390,战争
23712710,剧情
23769147,剧情
23769147,喜剧
23769147,爱情
25805054,喜剧
25805054,动画
25805054,奇幻
11808948,喜剧
11808948,动画
11808948,冒险
