movie_id,composer
25746375,尔冬升
5446197,科特·萨特
25885212,Marc Basch
25885212,布雷特·海利
5156558,Robert C. O'Brien
5156558,Nissar Modi
24325815,大卫·帕斯特尔
24325815,亚历克斯·帕斯特尔
25922902,持地佑季子
25922902,登米裕一
25922902,中田永一
25922902,乙一
25738406,弗兰克·威利
25767747,Giambattista Basile
25767747,马提欧·加洛尼
25767747,Edoardo Albinati
25767747,Ugo Chiti
25767747,Massimo Gaudioso
25823840,闵奎东
10533913,彼特·道格特
10533913,罗纳尔多·德尔·卡门
10533913,梅格·勒福夫
10533913,乔什·库雷
10533913,迈克尔·阿恩特
10533913,西蒙·里奇
10533913,鲍勃·彼德森
10533913,比尔·哈德尔
10533913,艾米·波勒
25814707,森淳一
10773239,阿加多·蒙特沃德
10773239,Pepe Portillo
25870236,关信辉
25870236,张佩琼
26147706,岩井俊二
25761178,足立紳
26219652,张冀
26219652,肖洋
25786077,卡尔顿·库斯
25786077,安德烈·法布里齐奥
25786077,杰里米·帕斯莫尔
25958787,真边克彦
25958787,小嶋健作
25958787,松冈锭司
25958787,安倍夜郎
3608742,乔纳森·赫尔曼
3608742,S·雷·利萨维治
3608742,艾伦·温库
3608742,安德丽亚·贝尔洛夫
11541282,雷德·卡罗林
11541282,查宁·塔图姆
25837175,林岭东
10463953,格拉汉姆·摩尔
10463953,安德鲁·霍奇斯
24397586,马克·伯顿
24397586,理查德·斯塔扎克
6866928,渡边雄介
6866928,町山智浩
6866928,谏山创
25752261,保罗·费格
25773932,达米安·沙泽勒
23788440,黄英
23788440,梁礼彦
24879839,陈凯歌
24879839,张挺
24879839,徐皓峰
25932086,Jantje Friese
25932086,Baran bo Odar
25855951,艾里克·拉缇戈
25855951,托马斯·柏戈恩
25855951,Victoria Bedos
25855951,Stanislas Carré de Malberg
3592854,乔治·米勒
3592854,Brendan McCarthy
6039412,J·迈尔斯·古德洛
6039412,Salvador Paskowitz
25907004,柏邦妮
4160540,亚历克斯·加兰
26021055,傲立
26021055,南罗
26021055,龚佳
26021055,杨啸
10741834,乔斯·韦登
10741834,斯坦·李
10741834,杰克·科比
25809260,郑凡植
24753687,李霄峰
24753687,王沐
24753687,潘彧
10741643,拉吉库马尔·希拉尼
10741643,阿西奇·乔希
25745752,饶雪漫
25830802,郭筝
25830802,李佳颖
25830802,林智祥
25830802,吴境
24847343,郭敬明
21318488,吉莉安·弗琳
10755171,吉莉安·弗琳
10755171,吉勒·巴盖特-布赫内
11520649,Chris Cleveland
26268587,David Eldridge
26268587,Hallie Rubenhold
25718082,荫山征彦
25718082,张艾嘉
23761370,克里斯·摩根
23761370,盖瑞·斯科特·汤普森
24405378,简·古德曼
24405378,马修·沃恩
24405378,马克·米勒
24405378,戴夫·吉布森
19957083,塞思·麦克法兰
19957083,亚历克·苏雷金
19957083,韦尔斯利·怀尔德
24716045,托马斯·哈代
24716045,大卫·尼克尔森
25945356,王莉莉
25945356,老晃
25945356,李洋
25945356,张小北
21937450,朴秀真
25870084,林小革
25870084,任鹏
25870084,申东益
25870084,洪允贞
25870084,董熹璇
25870084,黄东赫
25794212,布莱恩·达菲尔德
25794212,阿齐瓦·高斯曼
25794212,马克·鲍姆贝克
21442760,尼古拉斯·斯帕克斯
21442760,Craig Bolotin
3104205,卡梅伦·克罗
25742299,李光耀
25742299,吕冠南
25742299,尔冬升
21263666,杰森·迪恩·霍尔
25900851,菅野友惠
25774050,古泽良太
25774050,山崎贵
25774050,岩明均
26314206,Zoltán Mayer
10827341,汤姆·J·阿瑟尔
10827341,马特·恩贝尔
10827341,亚当·雷克斯
24859095,Patricia Beauchamp
24859095,Joe Gossett
6846893,尼尔·布洛姆坎普
6846893,特丽·塔歇尔
25799475,宫部美雪
25799475,真边克彦
1889243,乔纳森·诺兰
1889243,克里斯托弗·诺兰
25823833,李仁港
25811357,刘浩良
2973079,弗兰·威尔士
2973079,菲利帕·鲍恩斯
2973079,彼得·杰克逊
2973079,吉尔莫·德尔·托罗
2973079,J·R·R·托尔金
10792633,艾历克西斯·凯伊·坎贝尔
10792633,E. Randol Schoenberg
10792633,玛丽亚·阿尔特曼
10754780,Casey Twenter
10754780,Jeff Robison
10754780,威廉姆·H·梅西
10440138,里克·杰法
10440138,阿曼达·斯尔沃
10440138,德里克·康纳利
10440138,科林·特雷沃罗
10440138,迈克尔·克莱顿
2998373,保罗·金
2998373,哈密斯·麦克尔
2998373,迈克尔·邦德
11026735,乔丹·罗伯茨
11026735,丹尼尔·吉尔森
11026735,罗伯特·L·贝尔德
24987018,梁乐民
24987018,陆剑青
25858759,王朔
25858759,徐静蕾
25858759,十庆
25858759,王芸
25858759,赵梦
25858759,梁青儿
25858759,司徒芃丽
25800938,安诺斯·托马斯·延森
21349734,大卫·盖恩
21349734,迈克尔·汉德尔曼
21349734,马克·弗里德曼
21349734,托马斯·列农
21349734,罗伯特·本·加兰特
2363942,理查德·普莱斯
2363942,汤姆·罗伯·史密斯
25872931,李玉
25872931,魏君子
25872931,许少飞
25872931,冯唐
21767183,安藤桃子
26279166,区焯文
24753810,吴京
24753810,刘毅
24753810,董群
24753810,高岩
5153254,西西莉亚·埃亨
5153254,朱丽叶·托希迪
24307637,庾河
2325873,查尔斯·里维特
2325873,斯蒂文·奈特
2325873,麦特‧格林伯格
2325873,约瑟夫·德拉尼
25898213,鲍兹·亚金
25898213,谢尔登 莱提奇
6126442,姜文
6126442,郭俊立
6126442,王朔
6126442,廖一梅
6126442,述平
6126442,阎云飞
6126442,孙悦
6126442,孙睿
6126442,于彦琳
25821585,艾米·舒默
25861695,大野敏哉
25834945,李敏
6875263,克里斯·韦兹
25908042,布莱斯·贝克汉姆
25908042,大卫·菲卡斯
25908042,林诣彬
25908042,菲利普·W·钟
25908042,阿尔弗雷多·博泰洛
21345845,尼克·霍恩比
21345845,Cheryl Strayed
25945408,宫部美雪
25945408,真边克彦
25881780,赵硕
25881780,黛安·德雷克
26259634,莫菲勒
26259634,顾漫
11540651,金柱浩
11540651,河正宇
11540651,余华
24883815,罗纳德·巴斯
24883815,Chris Shafer
24872023,艾里克·阿伦森
24872023,卡里尔·邦飞利
10807909,黄建新
10807909,李杨
10807909,徐克
10807909,吴兵
10807909,董哲
10807909,林启安
5154799,安迪·沃卓斯基
5154799,拉娜·沃卓斯基
25780584,王安安
25780584,顾奕
25780584,伊能静
25947154,约什·劳森
25731554,约翰·麦卡伦
25746414,方令正
25746414,罗卓瑶
24713882,凯·加农
24713882,米奇·拉普金
6533054,丹尼·斯特朗
6533054,彼得·克莱格
25862355,李炳宪
25835293,彭三源
10548265,乔尔·科恩
10548265,伊桑·科恩
10548265,理查德·拉·格拉文斯
10548265,威廉姆·尼克尔森
10548265,劳拉·希伦布兰德
26184109,亚历山大·科特
25938856,Murray Miller
4911596,道格·艾林
4911596,罗伯·魏斯
25713420,赵天宇
25713420,秦溱
25713420,沈诗棋
25713420,李洁
25713420,金镭
25713420,张唤唤
3078390,王蕙玲
3078390,苏照彬
3078390,陈静慧
23769147,维克多·列文
25805054,卢恒宇
25805054,李姝洁
25805054,寒舞
11808948,格伦·伯杰
11808948,乔纳森·阿里斯
11808948,史蒂芬·海伦伯格
23331914,大卫·阿耶
20277632,吕克·贝松
20277632,罗伯特·马克·卡门
25777512,八津弘幸
25957011,Giulio Ricciarelli
25957011,Elisabeth Bartel
25905746,彭发
25905746,黄浩华
25905746,李永勤
25905746,陈鹏振
24743709,李晓雨
24695390,安迪·汉密尔顿
24695390,盖·简金
3012013,理查德·温克
3012013,迈克尔·斯隆
3012013,Richard Lindheim
20277433,格伦·费卡拉
20277433,约翰·里夸
25755608,弗朗索瓦·欧容
25806476,柳広司(原作)
3006769,斯科特·亚历山大
3006769,拉里·卡拉斯泽斯基
21349301,Allison Deegan
25884416,谢立文
25761564,Mary Agnes Donoghue
26140241,刘江
26140241,王红卫
26140241,王宇
26140241,徐楠
7003416,邹凯光
7003416,冼子文
7003416,许岚枫
25779218,李晗
25779218,刘晗
25779218,九夜茴
3089638,Paul Webb
10793610,斯蒂文·泽里安
10793610,亚当·库珀
10793610,比尔·科拉奇
10793610,杰弗里·凯恩
10546762,詹姆斯·拉派恩
10546762,史蒂芬·桑德海姆
26356488,Leo Kunnas
25919529,金豪俊
26383523,孙浩
26383523,高了
26383523,王一骜
3319744,索尔·迪勃
3319744,Irène Némirowsky
3319744,Matt Charman
24751757,顾伟
25798854,大森立嗣
25798854,黑住光
25798854,三浦紫苑
25845383,吉田智子
25845383,咲坂伊緒(原作)
25728008,雷·沃纳尔
10508874,Yoon-mi Jang
10508874,任弼星
25838216,宮木あや子
21349345,诺亚·奥本海姆
21349345,格兰特·迈尔斯
21349345,T·S·诺林
21349345,詹姆斯·达什纳
21977761,布拉德·英格尔斯比
20283482,Jorge R. Gutierrez
20283482,Douglas Langdale
25853073,みきもと凜（原著）
10546665,Michael Finkel
10546665,鲁伯特·古尔德
25818615,早船歌江子
25818615,角田光代(原作)
5432221,保罗·托马斯·安德森
5432221,托马斯·品钦
24743712,李欣蔓
24743712,张耀之
24845116,和月伸宏
26310932,乔恩·沃茨
26310932,克里斯托弗·D·福特 Christopher D. Ford
10440069,丹·福格尔曼
25809101,欧·帕克
25819726,金亮中
25819726,金洪宣
25819726,朴素贤
22637441,克利斯蒂安·佩措尔德
22637441,哈伦·法罗基
22637441,Hubert Monteilhet
11810348,约翰·阿布德
11810348,迈克尔·科尔顿
11810348,埃里克·达尼尔
11810348,汤姆·麦格拉思
11810348,布兰登·索耶
26588820,Jim Krieg
25788954,托马斯·麦卡锡
25788954,Paul Sado
6858224,汤姆·希克斯
25856577,郑柚井
26271893,邹凯光
25772380,Mark Raso
23767433,Andrew Deutschman
21348445,Nick Gordon
25774051,山崎贵
25774051,古泽良太
25774051,岩明均
4881607,彭浩翔
4881607,陆以心
4881607,张优优
4881607,罗曼夫
25871647,西炯子(原作)
25798131,德里克·科尔斯塔
6516595,韦斯利·斯崔克
6516595,Bart De Pauw
26361257,Alan Burnett
20253940,詹姆斯·多默
26356495,Maxim Budarin
26356495,Maxim Dankevich
26356495,Leonid Korin
26356495,Egor Olesov
22994771,温河
22994771,王孟圆
22994771,万超
25824853,郭子健
25824853,钱人豪
4845723,Manu Díez
4845723,豪梅·巴拿盖鲁
25892603,阿尔伯特·罗德里格斯
25892603,Rafael Cobos
25742242,堀泉杏
25856626,郭暻泽
25790755,尹宰久
24723061,王鹏展
24723061,王川
25834457,Barbara O'Connor
25827399,David Feeney
25827399,John Quaintance
4154632,易立
4154632,陈景形
4154632,聂盛杰
4154632,刘勇
25880244,金依萌
25880244,张艺凡
25834473,曹金玲
25834473,宝卿
25834473,严苏倩
25831308,王九九
25831308,郭梦昕
25984795,李海暎
25750177,藤田容介
26378296,Myeong Kye-nam (명계남)
26382849,丁乃筝
3317370,杰里米·加尔利
3317370,Jay Lavender
25824741,郭建乐
26220731,刘富源
24742719,J·C·尚多尔
25835306,伊坦·柯亨
25835306,亚当·麦凯
25835306,Jay Martel
25835306,Ian Roberts
25743833,徐琨华
25723095,Chun-Hyeong Lee
26087473,青山刚昌
26087473,内田贤治
24530939,摩根·戴维斯·福尔
25836152,冲田修一
25820655,西田征史
7059561,理查德·柯蒂斯
26274132,吉田恵里香
24695277,刘浩良
24695277,麦天枢
24695277,陈德森
25444447,杜致朗
21359619,韦家辉
21359619,陈伟斌
21359619,余曦
20453001,西德斯·巴比特·科努德森
20453001,Monica Swinn
20453001,Chiara D'Anna
24743119,彼得·萨特勒
6053684,Will Canon
6053684,Max La Bella
6053684,Doug Simon
25913617,奥斯汀·史塔克
25812885,Gary Dauberman
25958197,贾森·弗莱德伯格
25958197,亚伦·赛尔策
19897541,隅沢克之
22508259,希恩·安德鲁斯
22508259,约翰·莫里斯
22508259,乔纳森·M·戈尔茨坦
22508259,约翰·弗朗西斯·戴利
22508259,迈克尔·马科维茨
2147872,Matt Sazama
2147872,Burk Sharpless
25870671,山室有紀子
25870671,深川栄洋
25870671,加納朋子(原作)
10577854,希恩·安德鲁斯
10577854,约翰·莫里斯
10577854,彼得·法拉利
10577854,鲍比·法拉利
10577854,班内特·耶林
10577854,迈克·切罗内
25749871,安德鲁·奈特
25749871,安德鲁·阿纳斯塔西奥斯
26356473,Christopher Leone
26356473,Laura Harkcom
25870679,白云学
20278806,Andrea Seigel
10756517,薇拉·布里坦
10756517,朱丽叶·托希迪
6873819,加贝·伊班内兹
6873819,伊戈尔·拉格瑞塔
6873819,哈维尔·桑切斯·唐纳特
25766663,大森寿美男
25766663,重松清(原作)
3112738,Christopher Kyle
25721544,西蒙·巴雷特
24882719,尼古拉斯·斯帕克斯
24882719,威尔·法特斯
24882719,J·迈尔斯·古德洛
6873740,威尔·古勒
6873740,艾莲·布洛什·麦肯纳
6873740,托马斯·米汉
6873740,哈罗德·格雷
25827270,金智慧
25827270,李明世
26263504,Chaiyapruek Chalermpornpanich
26263504,Benjamaporn Srabua
26263504,梅兹·塔拉
25920098,Nicolas Billon
25709273,虞小卉
25709273,蔡岳勋
25709273,陈怡方
26258872,Steve Loter
26258872,Tom Rogers
25757780,J.C. Calciano
3012031,大卫·林赛-阿贝尔
3012031,史蒂文·斯皮尔伯格
25828520,吴胜旭
25949984,渡边雄介
25949984,今野敏(原作)
12012475,劳伦斯·布洛克
12012475,斯科特·弗兰克
25884436,Miguel Ángel Vivas
25884436,阿尔贝托·马里尼
26258752,David Berenbaum
26258752,乔治·卢卡斯
26258752,艾琳·梅琪
26258752,嘉里·瑞德斯托姆
25908302,王岳伦
25908302,赵凌芳
25908302,右耳
25908302,康晓熙
25908302,刘十六
22276795,孔玟燕
22276795,陆欣芷
22276795,阎玲怡
25828521,李炳宪
25722262,贾森·雷特曼
25722262,Erin Cressida Wilson
