movie_id,director
25746375,尔冬升
5446197,安东尼·福奎阿
25885212,布雷特·海利
25728581,加布里埃尔·萨瓦特瑞斯
5156558,克雷格·卓贝
24325815,塔西姆·辛
25922902,三木孝浩
25738406,弗兰克·威利
25767747,马提欧·加洛尼
25823840,闵奎东
10533913,彼特·道格特 
10533913, 罗纳尔多·德尔·卡门
25814707,森淳一
10773239,阿加多·蒙特沃德
25870236,关信辉
26147706,岩井俊二
25761178,武正晴
26219652,肖洋
25786077,布拉德·佩顿
25958787,松冈锭司
3608742,F·加里·格雷
11541282,格里高利·雅各布
25837175,林岭东
10463953,莫滕·泰杜姆
24397586,马克·伯顿 
24397586, 理查德·斯塔扎克
6866928,樋口真嗣
25752261,保罗·费格
25773932,达米安·沙泽勒
23788440,郑保瑞
24879839,陈凯歌
25932086,Baran bo Odar
25855951,艾里克·拉缇戈
3592854,乔治·米勒
6039412,李·杜兰·克里格
25907004,金泰均
26366634,卢镇秀
4160540,亚历克斯·加兰
26021055,何炅
10741834,乔斯·韦登
25809260,郑凡植
24753687,李霄峰
10741643,拉吉库马尔·希拉尼
25745752,苏有朋
25830802,王童
24847343,郭敬明
21318488,大卫·芬奇
10755171,吉勒·巴盖特-布赫内
11520649,妮琪·卡罗
26268587,谢雷·福克森
25718082,张艾嘉
23761370,温子仁
24405378,马修·沃恩
19957083,塞思·麦克法兰
24716045,托马斯·温特伯格
25945356,宋迪
21937450,尹齐均
25870084,陈正道
25794212,罗伯特·斯文克
21442760,小乔治·提尔曼
3104205,卡梅伦·克罗
25742299,李光耀
21263666,克林特·伊斯特伍德
25900851,山下敦弘
25774050,山崎贵
26314206,Zoltán Mayer
10827341,蒂姆·约翰逊
24859095,Fouad Mikati
6846893,尼尔·布洛姆坎普
25799475,成岛出
1889243,克里斯托弗·诺兰
25823833,李仁港
25811357,刘浩良
2973079,彼得·杰克逊
10792633,西蒙·柯蒂斯
10754780,威廉姆·H·梅西
10440138,科林·特雷沃罗
2998373,保罗·金
11026735,唐·霍尔 
11026735, 克里斯·威廉姆斯
24987018,梁乐民 
24987018, 陆剑青
25858759,徐静蕾
25800938,安诺斯·托马斯·延森
21349734,肖恩·利维
2363942,丹尼尔·伊斯皮诺萨
25872931,李玉
21767183,安藤桃子
26279166,区焯文
24753810,吴京
5153254,克利斯汀·迪特
24307637,庾河
2325873,谢尔盖·波德罗夫
25898213,鲍兹·亚金
6126442,姜文
25821585,贾德·阿帕图
25861695,川村泰祐
25834945,邱礼涛
6875263,肯尼思·布拉纳
25908042,蒂姆·肯德尔
21345845,让-马克·瓦雷
25945408,成岛出
25881780,张皓
26259634,杨文军 
26259634, 黄斌
11540651,河正宇
24883815,克里斯·埃文斯
24872023,大卫·凯普
10807909,徐克
5154799,安迪·沃卓斯基 
5154799, 拉娜·沃卓斯基
25780584,伊能静
25947154,约什·劳森
25731554,约翰·麦卡伦
25746414,罗卓瑶
25890082,Kim Kwang-tae
24713882,伊丽莎白·班克斯
6533054,弗朗西斯·劳伦斯
25862355,李炳宪
25835293,彭三源
10548265,安吉丽娜·朱莉
26184109,亚历山大·科特
25938856,Jake Szymanski
4911596,道格·艾林
25713420,鲍德熹 
25713420, 赵天宇
3078390,吴宇森
23712710,金成宰
23769147,维克多·列文
25805054,卢恒宇 
25805054, 李姝洁
11808948,Paul Tibbitt
23331914,大卫·阿耶
25919385,姜帝圭
20277632,奥利维尔·米加顿
25777512,三池崇史
25957011,Giulio Ricciarelli
25905746,彭发
24743709,李晓雨
24695390,安迪·汉密尔顿 
24695390, 盖·简金
3012013,安东尼·福奎阿
20277433,格伦·费卡拉 
20277433, 约翰·里夸
25755608,弗朗索瓦·欧容
25806476,入江悠
3006769,蒂姆·波顿
21349301,艾伦·瑞克曼
25884416,谢立文 
25884416, 李俊民
25761564,Mary Agnes Donoghue
26140241,刘江
7003416,叶伟信 
7003416, 邹凯光
25779218,张一白
3089638,艾娃·德约列
10793610,雷德利·斯科特
10546762,罗伯·马歇尔
26356488,Elmo Nüganen
25919529,金豪俊
26383523,孙浩
3319744,索尔·迪勃
24751757,顾长卫
25798854,大森立嗣
25845383,三木孝浩
25728008,雷·沃纳尔
10508874,任弼星
25838216,丰岛圭介
21349345,韦斯·鲍尔
21977761,佐米·希尔拉
20283482,Jorge R. Gutierrez
25853073,熊泽尚人
10546665,鲁伯特·古尔德
25818615,吉田大八
5432221,保罗·托马斯·安德森
24743712,李欣蔓
24845116,大友启史
26310932,乔恩·沃茨
10440069,丹·福格尔曼
25809101,约翰·麦登
25819726,金洪宣
22637441,克利斯蒂安·佩措尔德
11810348,埃里克·达尼尔 
11810348, 西蒙·J·史密斯
26588820,Rick Morales
25788954,托马斯·麦卡锡
6858224,汤姆·希克斯
25856577,文在容
26271893,邹凯光
25772380,Mark Raso
23767433,Dean Israelite
21348445,乔恩·克劳兹 
21348445, Trevor Matthews
25774051,山崎贵
4881607,彭浩翔
25871647,广木隆一
25798131,大卫·里奇 
25798131, 查德·史塔赫斯基
6516595,艾瑞克·范·洛依
26361257,Sam Liu
20253940,尼克·鲍威尔
26356495,Sergeiy Mokritskiy
22994771,王孟圆
25767613,金亚伦
25824853,郭子健 
25824853, 黄智亨
4845723,豪梅·巴拿盖鲁
25892603,阿尔伯特·罗德里格斯
25742242,行定勋
25856626,郭暻泽
25790755,尹宰久
24723061,王川 
24723061, 张钢 
24723061, 周洁
25834457,金成浩
25827399,安妮·弗莱彻
4154632,易立
25880244,金依萌 
25880244, 潘安子 
25880244, 章家瑞 
25880244, 宋迪
25834473,郭在容
25831308,高希希
25984795,李海暎
25750177,藤田容介
26378296,Kim Il-jong (김일종)
26382849,丁乃筝
3317370,杰里米·加尔利
25824741,钟澍佳
26220731,丁亮 
26220731, 刘富源
